relation,condition,n,acc
P1001,zero-shot,59,0.6440677966101694
P101,zero-shot,67,0.2835820895522388
P103,zero-shot,99,0.8585858585858586
P106,zero-shot,92,0.4673913043478261
P108,zero-shot,35,0.5714285714285714
P127,zero-shot,70,0.5142857142857142
P1303,zero-shot,85,0.21176470588235294
P131,zero-shot,70,0.5428571428571428
P136,zero-shot,93,0.5376344086021505
P1376,zero-shot,24,0.8333333333333334
P138,zero-shot,77,0.6493506493506493
P140,zero-shot,52,0.36538461538461536
P1412,zero-shot,90,0.7555555555555555
P159,zero-shot,98,0.5306122448979592
P17,zero-shot,76,0.7894736842105263
P176,zero-shot,100,0.7
P178,zero-shot,62,0.5645161290322581
P19,zero-shot,81,0.345679012345679
P190,zero-shot,106,0.20754716981132076
P20,zero-shot,105,0.4380952380952381
P264,zero-shot,41,0.2926829268292683
P27,zero-shot,105,0.6285714285714286
P276,zero-shot,92,0.6304347826086957
P279,zero-shot,103,0.5922330097087378
P30,zero-shot,88,0.6477272727272727
P31,zero-shot,84,0.7380952380952381
P36,zero-shot,72,0.5
P361,zero-shot,98,0.5408163265306123
P364,zero-shot,76,0.6842105263157895
P37,zero-shot,105,0.6476190476190476
P39,zero-shot,91,0.5274725274725275
P407,zero-shot,90,0.6111111111111112
P413,zero-shot,102,0.45098039215686275
P449,zero-shot,90,0.34444444444444444
P463,zero-shot,17,0.35294117647058826
P47,zero-shot,116,0.35344827586206895
P495,zero-shot,97,0.41237113402061853
P527,zero-shot,97,0.35051546391752575
P530,zero-shot,106,0.3113207547169811
P740,zero-shot,84,0.2976190476190476
P937,zero-shot,108,0.4722222222222222
P1001,L2 λ=0.0,59,0.7966101694915254
P101,L2 λ=0.0,67,0.5970149253731343
P103,L2 λ=0.0,99,0.9393939393939394
P106,L2 λ=0.0,92,0.6304347826086957
P108,L2 λ=0.0,35,0.6857142857142857
P127,L2 λ=0.0,70,0.7714285714285715
P1303,L2 λ=0.0,85,0.4823529411764706
P131,L2 λ=0.0,70,0.6571428571428571
P136,L2 λ=0.0,93,0.8602150537634409
P1376,L2 λ=0.0,24,0.9166666666666666
P138,L2 λ=0.0,77,0.7662337662337663
P140,L2 λ=0.0,52,0.7692307692307693
P1412,L2 λ=0.0,90,0.8888888888888888
P159,L2 λ=0.0,98,0.5204081632653061
P17,L2 λ=0.0,76,0.8552631578947368
P176,L2 λ=0.0,100,0.86
P178,L2 λ=0.0,62,0.8225806451612904
P19,L2 λ=0.0,81,0.41975308641975306
P190,L2 λ=0.0,106,0.27358490566037735
P20,L2 λ=0.0,105,0.4857142857142857
P264,L2 λ=0.0,41,0.6341463414634146
P27,L2 λ=0.0,105,0.6857142857142857
P276,L2 λ=0.0,92,0.6956521739130435
P279,L2 λ=0.0,103,0.7669902912621359
P30,L2 λ=0.0,88,0.9090909090909091
P31,L2 λ=0.0,84,0.7976190476190477
P36,L2 λ=0.0,72,0.6111111111111112
P361,L2 λ=0.0,98,0.7653061224489796
P364,L2 λ=0.0,76,0.75
P37,L2 λ=0.0,105,0.8
P39,L2 λ=0.0,91,0.8461538461538461
P407,L2 λ=0.0,90,0.8666666666666667
P413,L2 λ=0.0,102,0.803921568627451
P449,L2 λ=0.0,90,0.4666666666666667
P463,L2 λ=0.0,17,0.7647058823529411
P47,L2 λ=0.0,116,0.46551724137931033
P495,L2 λ=0.0,97,0.5979381443298969
P527,L2 λ=0.0,97,0.5670103092783505
P530,L2 λ=0.0,106,0.4716981132075472
P740,L2 λ=0.0,84,0.34523809523809523
P937,L2 λ=0.0,108,0.5462962962962963
P1001,cosine λ=1.0,59,0.7796610169491526
P101,cosine λ=1.0,67,0.582089552238806
P103,cosine λ=1.0,99,0.9292929292929293
P106,cosine λ=1.0,92,0.6413043478260869
P108,cosine λ=1.0,35,0.8
P127,cosine λ=1.0,70,0.7857142857142857
P1303,cosine λ=1.0,85,0.43529411764705883
P131,cosine λ=1.0,70,0.6
P136,cosine λ=1.0,93,0.8387096774193549
P1376,cosine λ=1.0,24,0.875
P138,cosine λ=1.0,77,0.8051948051948052
P140,cosine λ=1.0,52,0.7884615384615384
P1412,cosine λ=1.0,90,0.8888888888888888
P159,cosine λ=1.0,98,0.5306122448979592
P17,cosine λ=1.0,76,0.868421052631579
P176,cosine λ=1.0,100,0.87
P178,cosine λ=1.0,62,0.8387096774193549
P19,cosine λ=1.0,81,0.3950617283950617
P190,cosine λ=1.0,106,0.2641509433962264
P20,cosine λ=1.0,105,0.5142857142857142
P264,cosine λ=1.0,41,0.6585365853658537
P27,cosine λ=1.0,105,0.6952380952380952
P276,cosine λ=1.0,92,0.6304347826086957
P279,cosine λ=1.0,103,0.7572815533980582
P30,cosine λ=1.0,88,0.9431818181818182
P31,cosine λ=1.0,84,0.8095238095238095
P36,cosine λ=1.0,72,0.6527777777777778
P361,cosine λ=1.0,98,0.7346938775510204
P364,cosine λ=1.0,76,0.7368421052631579
P37,cosine λ=1.0,105,0.819047619047619
P39,cosine λ=1.0,91,0.8131868131868132
P407,cosine λ=1.0,90,0.8666666666666667
P413,cosine λ=1.0,102,0.8627450980392157
P449,cosine λ=1.0,90,0.5555555555555556
P463,cosine λ=1.0,17,0.8823529411764706
P47,cosine λ=1.0,116,0.45689655172413796
P495,cosine λ=1.0,97,0.6185567010309279
P527,cosine λ=1.0,97,0.5463917525773195
P530,cosine λ=1.0,106,0.4528301886792453
P740,cosine λ=1.0,84,0.3333333333333333
P937,cosine λ=1.0,108,0.5648148148148148
