lambda,epoch,val_acc,val_ce,test_acc,test_ce,step,train_ce,train_embed_loss,embed_frac
zero-shot,0,,,0.5148398471936526,2.5590322684653186,,,,
4.0,0.23,0.6338524831031442,1.584708364683146,,,200.0,,,
4.0,0.47,0.6517778430796356,1.4916522622353674,,,400.0,,,
4.0,0.7,0.6570672935645019,1.4467567308681908,,,600.0,,,
4.0,0.94,0.6699970614163973,1.4089378169747335,,,800.0,,,
4.0,1.17,0.6714663532177491,1.4510049805320997,,,1000.0,,,
4.0,1.41,0.6735233617396414,1.4301787877026777,,,1200.0,,,
4.0,1.64,0.6732295033793712,1.4374277170374223,,,1400.0,,,
4.0,1.88,0.6779312371436967,1.4267804479374804,,,1600.0,,,
4.0,2.11,0.6764619453423449,1.4629147626917187,,,1800.0,,,
4.0,2.35,0.6749926535409932,1.4411167620281384,,,2000.0,,,
4.0,2.58,0.6667646194534235,1.478051500091159,,,2200.0,,,
4.0,2.82,0.6732295033793712,1.4619602494701511,,,2400.0,,,
4.0,3.05,0.6650014692918014,1.4986117380246182,,,2600.0,,,
4.0,3.29,0.6644137525712607,1.5120433824152726,,,2800.0,,,
4.0,3.52,0.6676461945342345,1.5119920522149717,,,3000.0,,,
4.0,3.76,0.6650014692918014,1.538934444259308,,,3200.0,,,
4.0,3.99,0.6746987951807228,1.538242851290113,,,3400.0,,,
4.0,4.23,0.6717602115780194,1.5719650529900824,,,3600.0,,,
4.0,4.46,0.6652953276520717,1.5584219689671166,,,3800.0,,,
4.0,4.69,0.6694093446958566,1.577154486845985,,,4000.0,,,
4.0,4.93,0.6661769027328828,1.5935364939204533,,,4200.0,,,
4.0,5.16,0.6652953276520717,1.6353998348103738,,,4400.0,,,
4.0,5.4,0.6682339112547752,1.6256319680635698,,,4600.0,,,
4.0,final,0.6779312371436967,,0.6717602115780194,1.4263777283756234,1600.0,,,
zero-shot,0,,,0.5148398471936526,2.5590322684653186,,,,
zero-shot,0,,,0.5148398471936526,2.5590322684653186,,,,
2.0,0.23,0.636203349985307,1.571368425243783,,,200.0,1.8810757619142533,0.39776036955416205,0.2972
2.0,0.47,0.6500146929180135,1.4775479225298953,,,400.0,1.6178877499699593,0.3539580453187227,0.3044
2.0,0.7,0.657948868645313,1.4314060978878256,,,600.0,1.5504398971796036,0.3478960076719522,0.3098
2.0,0.94,0.6735233617396414,1.395014078099343,,,800.0,1.5676086929440498,0.3461722106486559,0.3064
2.0,1.17,0.6685277696150456,1.4387230770599482,,,1000.0,1.158685305416584,0.2627835412696004,0.312
2.0,1.41,0.6702909197766677,1.4275324660261133,,,1200.0,1.0601129887998104,0.24174194801598786,0.3132
2.0,1.64,0.6729356450191007,1.4306114250041442,,,1400.0,1.0601302900910377,0.23592900518327953,0.308
2.0,1.88,0.683220687628563,1.4259432665730027,,,1600.0,1.1117904356122017,0.2505631846562028,0.3107
2.0,2.11,0.6738172200999119,1.4643564948239047,,,1800.0,0.8754809901118279,0.19838676273822783,0.3119
2.0,2.35,0.6732295033793712,1.458603446461893,,,2000.0,0.7068938831984997,0.1595795554295182,0.3111
2.0,2.58,0.6655891860123421,1.4932881087467595,,,2200.0,0.7032352505624294,0.1633236090838909,0.3172
2.0,2.82,0.6746987951807228,1.4730557769607033,,,2400.0,0.7434564155340194,0.16834263507276773,0.3117
2.0,3.05,0.6694093446958566,1.5073291030160967,,,2600.0,0.6466970837844838,0.14762310916802412,0.3134
2.0,3.29,0.6664707610931531,1.5283207786615687,,,2800.0,0.4423348905146122,0.10304223656654359,0.3178
2.0,final,0.683220687628563,,0.6717602115780194,1.4268659060750328,1600.0,,,
1.0,0.23,0.6373787834263884,1.5497977263763516,,,200.0,1.850928845703602,0.39785871393978595,0.1769
1.0,0.47,0.6479576843961211,1.4724608232720684,,,400.0,1.6001263770461083,0.35320507295429704,0.1808
1.0,0.7,0.6511901263590949,1.4388529220522064,,,600.0,1.5728814871609211,0.34752511177212,0.181
1.0,0.94,0.6670584778136938,1.4081760812797093,,,800.0,1.540690456032753,0.3409481281042099,0.1812
1.0,1.17,0.6605935938877461,1.4354188330351099,,,1000.0,1.160701725439867,0.26004454265350657,0.183
1.0,1.41,0.6752865119012635,1.4265477164349345,,,1200.0,1.0197701753675938,0.23795740980654956,0.1892
1.0,1.64,0.6752865119012635,1.421963969666468,,,1400.0,1.047484835833311,0.2395604196935892,0.1861
1.0,1.88,0.6720540699382898,1.4073795458515916,,,1600.0,1.0127561753988266,0.2398302013799548,0.1915
1.0,2.11,0.6720540699382898,1.4557622577770646,,,1800.0,0.9080504186451435,0.20703079799190163,0.1857
1.0,2.35,0.6741110784601821,1.4681760814306912,,,2000.0,0.6582198507338762,0.1562706152908504,0.1919
1.0,2.58,0.6717602115780194,1.464442553719527,,,2200.0,0.6440472703054547,0.15397626906633377,0.1929
1.0,2.82,0.6694093446958566,1.4846257266404872,,,2400.0,0.6783339263498783,0.1612115166336298,0.192
1.0,final,0.6752865119012635,,0.6732295033793712,1.4182180238757944,1200.0,,,
0.5,0.23,0.6341463414634146,1.5547205510295001,,,200.0,1.8493124964833259,0.39312968388199804,0.0961
0.5,0.47,0.6570672935645019,1.464038331430518,,,400.0,1.6392479929327965,0.3597958897799253,0.0989
0.5,0.7,0.6714663532177491,1.3951541158668161,,,600.0,1.582758747637272,0.3531350744515657,0.1004
0.5,0.94,0.6679400528945049,1.4055255358092336,,,800.0,1.5240919983386993,0.34213733300566673,0.1009
0.5,1.17,0.6632383191301793,1.4153316385634604,,,1000.0,1.137575103789568,0.26386731177568434,0.1039
0.5,1.41,0.6667646194534235,1.4226167585362486,,,1200.0,0.9989232288300991,0.23525769863277673,0.1054
0.5,1.64,0.6694093446958566,1.4096598772443185,,,1400.0,1.0254368269443512,0.23933081999421119,0.1045
0.5,1.88,0.6752865119012635,1.3979221698495523,,,1600.0,1.0398629806935786,0.2445678208768368,0.1052
0.5,2.11,0.6758742286218042,1.463869770922592,,,1800.0,0.8358336493372918,0.19452574461698532,0.1042
0.5,2.35,0.6714663532177491,1.4814420313326149,,,2000.0,0.6278979086503387,0.1517408404313028,0.1078
0.5,2.58,0.6764619453423449,1.4712172332464721,,,2200.0,0.6582565039023757,0.1593420372903347,0.108
0.5,2.82,0.6694093446958566,1.4807732641048863,,,2400.0,0.6926077610999346,0.1668538025766611,0.1075
