seed,lambda,step,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce
42,20.0,200,0.23,0.6291507493388186,1.5864360766080838,1.9416859385371208,0.1486952595040202,0.605,,
42,20.0,400,0.47,0.64707610931531,1.5093614362615926,1.7018441718816757,0.13467213172465564,0.6128,,
42,20.0,600,0.7,0.6605935938877461,1.4633613214522925,1.6017639768123626,0.12700627272948622,0.6133,,
42,20.0,800,0.94,0.6676461945342345,1.4366781938226652,1.5335620391368865,0.12402086902409792,0.6179,,
42,20.0,1000,1.17,0.6641198942109903,1.4814736456633526,1.2504798528249375,0.09731657966971398,0.6088,,
42,20.0,1200,1.41,0.6720540699382898,1.4421744452980452,1.147467972934246,0.08811880767345429,0.6057,,
42,20.0,1400,1.64,0.6679400528945049,1.4209597770287785,1.1222388333082198,0.08742510087788105,0.6091,,
42,20.0,1600,1.88,0.6779312371436967,1.413432586041577,1.1663428443670272,0.09055513691157102,0.6083,,
42,20.0,1800,2.11,0.6729356450191007,1.4483594226024448,1.0065967153571547,0.07608145558275282,0.6019,,
42,20.0,2000,2.35,0.6673523361739642,1.4679509037966032,0.7891822309046984,0.059632431538775565,0.6018,,
42,20.0,2200,2.58,0.6711724948574787,1.4813158740164987,0.8539503081142903,0.06482428959570825,0.6029,,
42,20.0,2400,2.82,0.6744049368204525,1.450572396713672,0.8381398712098599,0.0633021573536098,0.6017,,
42,20.0,2600,3.05,0.6708786364972084,1.502325737131297,0.7919520247727633,0.0601383616682142,0.603,,
42,20.0,2800,3.29,0.6732295033793712,1.5002463252061682,0.60074193559587,0.044860224155709144,0.599,,
42,20.0,3000,3.52,0.6702909197766677,1.498670080322537,0.593875652179122,0.044218090092763306,0.5983,,
42,20.0,3200,3.76,0.6776373787834263,1.4941147090388227,0.6070700177550316,0.04474329119548202,0.5958,,
42,20.0,3400,3.99,0.6732295033793712,1.5045735128191056,0.6219851367548108,0.04643137597478926,0.5989,,
42,20.0,3600,4.23,0.670584778136938,1.5654985482924622,0.4119429693929851,0.030443094866350294,0.5965,,
42,20.0,3800,4.46,0.6729356450191007,1.545011718930688,0.4249941605143249,0.03121658995747566,0.595,,
42,20.0,4000,4.69,0.6708786364972084,1.5794901696506962,0.41252669036388395,0.03096092593856156,0.6002,,
42,20.0,4200,4.93,0.67234792829856,1.5697843838081338,0.47701787447556854,0.03500762378796935,0.5948,,
42,20.0,4400,5.16,0.6702909197766677,1.628335738949239,0.3298235721513629,0.02443279101513326,0.597,,
42,20.0,4600,5.4,0.6632383191301793,1.6143462681486576,0.2962705568782985,0.022286532735452055,0.6007,,
42,20.0,4800,5.63,0.6694093446958566,1.642174956082527,0.3088628545962274,0.02341158639639616,0.6025,,
42,20.0,5000,5.87,0.6702909197766677,1.6241812188853735,0.2973188908211887,0.022783935805782675,0.6052,,
42,20.0,5200,6.1,0.6614751689685572,1.689602999863399,0.2542854158906266,0.019029463520273567,0.5995,,
42,20.0,5400,6.34,0.6661769027328828,1.6610620785400583,0.1898589441832155,0.014042558958753943,0.5967,,
42,20.0,5600,6.57,0.6644137525712607,1.6946984972370185,0.18409883559681475,0.013883677832782269,0.6013,,
42,20.0,5800,6.81,0.6617690273288275,1.7169254180760969,0.20326920713298022,0.015454181963577866,0.6033,,
42,20.0,6000,7.04,0.6623567440493682,1.7295284426360316,0.20614630939962808,0.01541967066936195,0.5994,,
42,20.0,1600,final,0.6779312371436967,,,,,0.67234792829856,1.408609122414467
123,20.0,200,0.23,0.6364972083455774,1.5969666348742346,1.860978620648384,0.14457705203443766,0.6084,,
123,20.0,400,0.47,0.6438436673523362,1.5176045855038172,1.7277803307771682,0.13446745000779628,0.6088,,
123,20.0,600,0.7,0.6573611519247723,1.456768635858552,1.5756053587794303,0.12467777661979199,0.6128,,
123,20.0,800,0.94,0.6544225683220688,1.4450581151879327,1.5682535886764526,0.12381876770406962,0.6123,,
123,20.0,1000,1.17,0.6564795768439612,1.4709869925323529,1.31381732031703,0.10066592548042536,0.6051,,
123,20.0,1200,1.41,0.6608874522480165,1.4472987336198828,1.1474938786029816,0.08921456856653094,0.6086,,
123,20.0,1400,1.64,0.6702909197766677,1.4323275659737993,1.1061005100607872,0.08572157075628638,0.6078,,
123,20.0,1600,1.88,0.6658830443726124,1.4351454422539065,1.144270217269659,0.09033714948222041,0.6122,,
123,20.0,1800,2.11,0.6644137525712607,1.467094458098836,0.9751601000130177,0.07438963614404201,0.6041,,
123,20.0,2000,2.35,0.6670584778136938,1.4882592468832017,0.823832416459918,0.06301549556665123,0.6047,,
123,20.0,2200,2.58,0.6711724948574787,1.4840756059218392,0.8080075550824404,0.06175486304797232,0.6045,,
123,20.0,2400,2.82,0.6661769027328828,1.4463447710362876,0.8494237891584635,0.0642891604360193,0.6022,,
123,20.0,2600,3.05,0.6620628856890979,1.4916909060301655,0.787836674451828,0.059523511780425906,0.6018,,
123,20.0,2800,3.29,0.6558918601234205,1.524993780392813,0.5887982665747404,0.04438178205862641,0.6012,,
123,20.0,3000,3.52,0.6670584778136938,1.5148159405290467,0.5950991046428681,0.044453068291768434,0.599,,
123,20.0,3200,3.76,0.6661769027328828,1.5180201491572525,0.6147155810147524,0.04609623163938523,0.6,,
123,20.0,3400,3.99,0.669703203056127,1.5200595736258387,0.5994796725362539,0.04511934285052121,0.6008,,
123,20.0,3600,4.23,0.6708786364972084,1.5673585904895155,0.4304495644537383,0.03230378495529294,0.6001,,
123,20.0,3800,4.46,0.6591243020863944,1.5863034658981288,0.42105023950338366,0.03081926646642387,0.5941,,
123,20.0,4000,4.69,0.6611813106082868,1.573021114625687,0.4592781016975641,0.03395862428471446,0.5966,,
123,20.0,4200,4.93,0.6670584778136938,1.5946106426582034,0.436056130155921,0.03282423536293209,0.6009,,
123,20.0,4400,5.16,0.6611813106082868,1.6519173991144176,0.3109783026040532,0.022753089759498836,0.594,,
123,20.0,4600,5.4,0.6564795768439612,1.6313995515077633,0.27254503649659456,0.0203564796410501,0.599,,
123,20.0,4800,5.63,0.6641198942109903,1.6568432521406706,0.3022743856534362,0.02260251441039145,0.5993,,
123,20.0,5000,5.87,0.6617690273288275,1.6435827687141862,0.3172131515480578,0.023885110430419444,0.6009,,
123,20.0,5200,6.1,0.6673523361739642,1.7137129522581995,0.27886361049488184,0.02032713921740651,0.5931,,
123,20.0,5400,6.34,0.6652953276520717,1.7062241589360962,0.20263167263939977,0.014488280629739165,0.5885,,
123,20.0,5600,6.57,0.6676461945342345,1.7007862138741163,0.19502159678377212,0.01450169324874878,0.5979,,
123,20.0,5800,6.81,0.6655891860123421,1.7036581131033852,0.2016075674444437,0.014537900350987912,0.5905,,
123,20.0,6000,7.04,0.664707610931531,1.731629884982158,0.2015114548036945,0.01469006834551692,0.5932,,
123,20.0,2200,final,0.6711724948574787,,,,,0.6456068175139583,1.5855633803335947
456,20.0,200,0.23,0.6385542168674698,1.6046792170316935,1.9119842964410783,0.1471483038365841,0.6062,,
456,20.0,400,0.47,0.6420805171907141,1.5140175480300315,1.6973160022497178,0.1318858189508319,0.6085,,
456,20.0,600,0.7,0.6564795768439612,1.4765879309180903,1.5666501294076443,0.12556750616058707,0.6158,,
456,20.0,800,0.94,0.6600058771672054,1.4663788901684112,1.5699529975652695,0.12360890189185739,0.6116,,
456,20.0,1000,1.17,0.6673523361739642,1.4392254143786927,1.2578372938744724,0.0978347845748067,0.6087,,
456,20.0,1200,1.41,0.6688216279753159,1.4237895627740618,1.157917762249708,0.0882923632580787,0.604,,
456,20.0,1400,1.64,0.6720540699382898,1.4250962328567527,1.1307214361429214,0.08716240748763085,0.6066,,
456,20.0,1600,1.88,0.6699970614163973,1.4274585160163793,1.1293804943561554,0.08946176566183567,0.613,,
456,20.0,1800,2.11,0.6570672935645019,1.4991346238607384,1.0149218092858792,0.07690517568960786,0.6025,,
456,20.0,2000,2.35,0.6652953276520717,1.496614738453706,0.8231924837827682,0.06285451993346214,0.6043,,
456,20.0,2200,2.58,0.6652953276520717,1.4740694051905656,0.7924677194654941,0.0618284759297967,0.6094,,
456,20.0,2400,2.82,0.6617690273288275,1.4978115650404562,0.8670398353040218,0.06558986147865653,0.6021,,
456,20.0,2600,3.05,0.6676461945342345,1.4962067441172435,0.8204911607131362,0.06189611778594553,0.6014,,
456,20.0,2800,3.29,0.6597120188069351,1.527515103317449,0.5819105580821633,0.044234627252444626,0.6032,,
456,20.0,3000,3.52,0.6582427270055833,1.5558954221586463,0.609480527304113,0.04529177347198129,0.5978,,
