lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
zero-shot,0,,,,,,0.5148398471936526,2.5590322974706936,,42
4.0,0.23,0.6373787834263884,1.5626908255138363,1.904074451327324,0.1490421539545059,0.2384,,,200.0,42
4.0,0.47,0.6553041434028798,1.4824840974149165,1.607160985469818,0.1289093460142612,0.2429,,,400.0,42
4.0,0.7,0.6673523361739642,1.4345394298062055,1.5515835094451904,0.1273236108012497,0.2471,,,600.0,42
4.0,0.94,0.6746987951807228,1.3937924730052609,1.5606261625885964,0.1249057276546955,0.2425,,,800.0,42
4.0,1.17,0.6682339112547752,1.4168934172176453,1.14625864982605,0.0935199293773621,0.2461,,,1000.0,42
4.0,1.41,0.6714663532177491,1.423754377125853,1.0402719861268996,0.0871550944074988,0.251,,,1200.0,42
4.0,1.64,0.6694093446958566,1.4413461357731698,1.048822472393513,0.0853523431532085,0.2456,,,1400.0,42
4.0,1.88,0.6749926535409932,1.4153006510754875,1.0905475263297555,0.0888474976457655,0.2458,,,1600.0,42
4.0,2.11,0.6726417866588305,1.4592921195960626,0.8397694145143032,0.0701797872874885,0.2505,,,1800.0,42
4.0,2.35,0.6794005289450484,1.451637902847991,0.690163809210062,0.0567613762151449,0.2475,,,2000.0,42
4.0,2.58,0.6688216279753159,1.4915354299853558,0.6796364346146584,0.0567329635750502,0.2503,,,2200.0,42
4.0,2.82,0.6738172200999119,1.4878269557983708,0.7206980057060719,0.0595466931629925,0.2484,,,2400.0,42
4.0,3.05,0.6726417866588305,1.5328662204297543,0.6399438813608868,0.0529798737168312,0.2488,,,2600.0,42
4.0,3.29,0.6702909197766677,1.5384572216983126,0.4240258317068219,0.036099556479603,0.254,,,2800.0,42
4.0,3.52,0.6702909197766677,1.549555113726842,0.4350881598889827,0.0365992064587771,0.2518,,,3000.0,42
4.0,3.76,0.6650014692918014,1.574806137016476,0.4863338549062609,0.0408969167806208,0.2517,,,3200.0,42
4.0,final,0.6794005289450484,,,,,0.6785189538642374,1.4460064694351076,2000.0,42
2.0,0.23,0.6379665001469291,1.561014429728774,1.855676282942295,0.144929083622992,0.1351,,,200.0,42
2.0,0.47,0.6523655598001763,1.472631793310458,1.6116663727164269,0.1306287940964102,0.1395,,,400.0,42
2.0,0.7,0.6550102850426095,1.4564652043670336,1.5663457849621774,0.1276258929446339,0.1401,,,600.0,42
2.0,0.94,0.6670584778136938,1.409261026506455,1.5593473836779594,0.1259666503034532,0.1391,,,800.0,42
2.0,1.17,0.6676461945342345,1.407219088834207,1.1546274843811988,0.0936804612353444,0.1396,,,1000.0,42
2.0,1.41,0.6650014692918014,1.4314138709080069,1.0690162502229217,0.0896886736620217,0.1437,,,1200.0,42
2.0,1.64,0.6794005289450484,1.4053259645792586,1.0195687083899976,0.0852895686216652,0.1433,,,1400.0,42
2.0,1.88,0.6808698207464002,1.3993414196325618,1.0118835572898388,0.0858617185615003,0.1451,,,1600.0,42
