anchor_token,spearman_r,p_value,n_pairs
 13,-0.6732018644408035,1.4668495859027816e-40,297
 2013,-0.6057636734665115,1.7292624154541672e-80,792
It,-0.5510302173219138,5.504351485592444e-25,297
 2015,-0.5392108282508189,3.0005170088177828e-31,396
 24,-0.5283497128503216,6.1432581985864465e-37,495
 �,-0.5217118255667524,3.923354943452758e-22,297
 9,-0.521097397332865,3.530418982921243e-63,891
 11,-0.5197384320765169,2.0838903486277776e-42,594
unners,-0.5112534120789922,9.357884061525961e-28,396
20,-0.5064444950336874,2.023531994609332e-46,693
 2012,-0.502260985740212,7.595259293649383e-52,792
 April,-0.4997237057425688,2.0918183284255477e-26,396
 28,-0.49958275579751904,3.723155800964735e-20,297
25,-0.49136152970008373,1.8517683184531449e-25,396
 2009,-0.48952561723752497,5.823081792036651e-49,792
 James,-0.4748384218646222,3.338128941525708e-29,495
 17,-0.47327506518283674,1.6944263210733436e-23,396
22,-0.4660589632741867,9.541622064221396e-23,396
 uses,-0.46153173158525224,4.493120962238211e-17,297
 beginning,-0.45721611106838417,9.515491674521992e-17,297
 December,-0.4524795550583477,2.211563107285802e-21,396
 6,-0.4378093552410395,2.0205270904983205e-38,792
 31,-0.43775213064948976,3.345338775967744e-29,594
 twenty,-0.43758809538468985,1.4319688690839887e-24,495
 350,-0.43244009719852017,1.781216149712949e-19,396
 2016,-0.43014466792124545,1.4001236735254893e-32,693
13,-0.4246935895579225,9.000492683692832e-19,396
 But,-0.4148005601779771,4.188394094955796e-26,594
 giving,-0.412522670188157,9.243836424418652e-22,495
 June,-0.41151852505765846,9.829523716711997e-38,891
 2014,-0.4110602031843109,1.2006554414122199e-45,1089
 Saturday,-0.41046726341233136,1.688125652568543e-13,297
60,-0.4052481550030119,4.3881339784629895e-17,396
 p,-0.4006140243929626,1.0679849330010044e-16,396
 We,-0.39882245739360916,1.1797171958009027e-143,3762
 October,-0.3926972633273133,4.72763509106219e-16,396
iff,-0.3919248672061964,5.454498278122477e-16,396
 2001,-0.3907965369866109,6.71730179454988e-16,396
 Virginia,-0.3872713682805095,4.5875805034423925e-12,297
15,-0.38470025332964486,2.1744207546542134e-22,594
He,-0.3846702513946778,6.64160181208258e-19,495
 10,-0.3806682638431008,2.0826222348792937e-106,3069
 actually,-0.3724440769781194,1.7793835823452083e-14,396
 15,-0.37180532662179455,2.275515776004481e-27,792
 mother,-0.3715730968770166,6.939433958479572e-21,594
 It,-0.3696123791241679,2.7732364275509078e-49,1485
 She,-0.36751191607896544,2.8248893647958055e-17,495
 does,-0.3652341737785881,2.707323059068313e-23,693
rers,-0.3641383183658563,9.636281475150085e-11,297
ne,-0.3629816228243554,7.329151504673896e-17,495
 grasp,-0.3603979160742475,1.541748000971819e-10,297
 Smith,-0.36017629210930685,1.236924908688046e-19,594
eller,-0.35986516145858194,1.6476673248970663e-10,297
 20,-0.35824035963314466,2.397557541786126e-31,990
 across,-0.35606187796451877,2.795739576951498e-13,396
ack,-0.3543864042521382,4.292605380524857e-16,495
",""",-0.35377011477759485,5.939721431528007e-19,594
 after,-0.35333690710920557,1.7487854091989862e-30,990
ri,-0.3508827258563558,4.959201656407839e-10,297
 check,-0.35055760359486954,6.811474149336586e-13,396
 fragrance,-0.350328950016581,5.301820837511742e-10,297
 since,-0.34864526273250585,9.243861508066914e-13,396
ased,-0.3486044717790879,6.522478245835263e-10,297
But,-0.347037490563461,7.865192851703551e-10,297
 something,-0.34684021473065,8.052161624149217e-10,297
 Monday,-0.34399113119046787,1.1071551026479262e-20,693
We,-0.34366637391751625,2.869000596878644e-34,1188
 Robert,-0.34159758352705033,1.4944145540554213e-09,297
 add,-0.34021140366958774,3.4677330701430083e-12,396
 30,-0.3397293695971597,7.580153072720069e-23,792
